Trail Type,Saccade amplitude (deg),Mean Time,Eye Speed (deg/s)
Left 3,-15,0.04000000000000002,374.9999999999998
Left 2,-10,0.04000000000000003,249.99999999999983
Left 1,-5,0.03766666666666668,132.74336283185835
Right 1,5,0.03371428571428574,148.3050847457626
Right 2,10,0.03849999999999998,259.7402597402599
Right 3,15,0.03942857142857142,380.43478260869574
