Trail Type,VOR amplitude (deg),Mean Time,VOR Speed (deg/s)
Left 3,-15,0.01933333333333335,775.8620689655165
Left 2,-10,0.020666666666666684,483.8709677419351
Left 1,-5,0.02400000000000002,208.33333333333314
Right 1,5,0.04533333333333336,110.29411764705877
Right 2,10,0.022499999999999992,444.44444444444457
Right 3,15,0.027500000000000024,545.4545454545449
