Trail Type,Saccade amplitude (deg),Mean Time,Eye Speed (deg/s)
Left 3,-15,0.040000000000000036,374.99999999999966
Left 2,-10,0.04000000000000002,249.99999999999986
Left 1,-5,0.03866666666666666,129.31034482758622
Right 1,5,0.03650000000000003,136.9863013698629
Right 2,10,0.03699999999999995,270.27027027027066
Right 3,15,0.03866666666666663,387.931034482759
