Trail Type,Mean Difference,Degrees
HL2,-0.3009999999999995,-12.82638106690249
HL1,-0.019892156862745036,-8.464914695408272
HL3,-0.4536470588235295,-5.127065584931278
HL3,-0.5096372549019608,-4.609901707167705
HL2,-0.4594542483660129,-3.815795042791104
HL3,-0.3262647058823531,-3.6643180490082856
HL2,-0.2023627450980392,-3.2297779860353457
HL1,-0.223996732026144,-3.111962546426487
HL1,-0.050696078431371916,-2.0424431660811213
HR1,0.23921241830065343,1.2181373768601869
HR1,0.14174509803921564,2.2968371810711803
HR2,0.19449019607843132,2.5209925304568577
HR3,-0.4722222222222221,2.557714225919379
HR2,0.20686274509803915,2.6005562039589596
HR2,0.2562254901960783,2.6166219457238045
HR1,0.18457516339869273,2.9976095361472574
HR2,0.17217973856209157,3.542314685507704
HR3,0.450640522875817,3.667780478337909
HR3,0.4918071895424836,4.272158382824924
HR3,0.4116307189542481,5.302660961741385
